stream,architecture,seed,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,promotion_time,final_log_evidence
Elec2,16,6,44712,0.4212691890186349,0.24320292705432203,0.17806626196431286,161,4325.478612593037
Elec2,16,7,44712,0.4229329052222074,0.24437624752441256,0.17855665769779477,117,4459.706572085481
Elec2,16,8,44712,0.5726174069150075,0.2429447918265459,0.3296726150884616,274,7584.118726659978
Elec2,16,9,44712,0.41635478971684164,0.24328748920331475,0.1730673005135268,359,4235.751582718309
Elec2,16,10,44712,0.4214171699801243,0.24377388815852666,0.17764328182159764,266,4425.429666631561
Elec2,16,11,44712,0.4221513835720501,0.24377955874858187,0.17837182482346825,120,4472.480509568638
Elec2,16,12,44712,0.4153616271059465,0.2427655550206065,0.17259607208533992,342,4212.437628447666
Elec2,16,13,44712,0.42150381082671445,0.2446065533450263,0.1768972574816882,154,4215.115880499553
Elec2,16,14,44712,0.5616063997353373,0.24338556378270124,0.31822083595263606,319,7336.7740766030865
Elec2,16,15,44712,0.41300873361489343,0.2435391462683289,0.1694695873465646,340,4161.907669083224
Elec2,16,16,44712,0.4214595198452503,0.24401382111305303,0.1774456987321973,156,4383.539507600098
Elec2,16,17,44712,0.40891633656755877,0.24354794789174533,0.16536838867581338,287,4016.4377119449505
Elec2,16,18,44712,0.5732084393588984,0.24353823283154763,0.32967020652735085,194,7589.803480571281
Elec2,16,19,44712,0.4209309568250017,0.24366014228229504,0.17727081454270666,187,4394.833448143754
Elec2,16-8,0,44712,0.5686481259405103,0.24324765524770084,0.3254004706928094,418,7558.239099116317
Elec2,16-8,1,44712,0.571754751039029,0.24322760602908192,0.328527145009947,345,7607.588398843922
Elec2,16-8,2,44712,0.5701916052089249,0.24267293083264546,0.32751867437627946,259,7567.615578477914
Elec2,16-8,3,44712,0.5714855160255985,0.24315893542147388,0.32832658060412473,320,7613.7102364259335
Elec2,16-8,4,44712,0.5696145828637833,0.2430248106303568,0.3265897722334265,250,7477.225392883726
Elec2,16-8,5,44712,0.4142463894246782,0.24313870154497588,0.17110768787970232,348,4285.35143440575
Elec2,16-8,6,44712,0.4210009773842236,0.24407906695010173,0.1769219104341218,240,4209.439485038765
Elec2,16-8,7,44712,0.5724442835085164,0.24389185949920483,0.32855242400931156,442,7554.885467001873
Elec2,16-8,8,44712,0.42092308281510127,0.2438365599259942,0.1770865228891071,167,4422.496308765121
Elec2,16-8,9,44712,0.42084532201500874,0.243882453485736,0.17696286852927273,300,4426.891511442943
Elec2,16-8,10,44712,0.4070055701426087,0.2427015691464509,0.16430400099615783,338,4119.818276756519
Elec2,16-8,11,44712,0.5677155877674591,0.24369101021587533,0.3240245775515838,269,7362.742264447908
Elec2,16-8,12,44712,0.420488592684713,0.24408117370809665,0.17640741897661633,355,4327.8065962226865
Elec2,16-8,13,44712,0.5672261074711189,0.24322523369180266,0.32400087377931625,365,7505.55028449527
Elec2,16-8,14,44712,0.5704939268591738,0.24368633781041474,0.32680758904875906,355,7495.125167719131
Elec2,16-8,15,44712,0.5516412062977668,0.24403520351595298,0.30760600278181377,304,7120.875296607737
Elec2,16-8,16,44712,0.4093312314107827,0.24319311876951907,0.16613811264126366,284,4176.10956248895
Elec2,16-8,17,44712,0.5707489893095541,0.24250308135179513,0.3282459079577588,373,7522.292660462287
Elec2,16-8,18,44712,0.5701284002226646,0.24350028213339384,0.32662811808927084,176,7551.176290432404
Elec2,16-8,19,44712,0.5166907976549129,0.24321616784734826,0.27347462980756454,352,6361.573992064662
Phishing,8,0,650,0.21719567673940438,0.1849058338361307,0.03228984290327366,306,17.48464030179657
Phishing,8,1,650,0.21576032409149853,0.17194691462644784,0.04381340946505068,252,23.5833618165315
Phishing,8,2,650,0.248762609523362,0.20500199826925924,0.043760611254102806,255,24.40405486044281
Phishing,8,3,650,0.252041970001758,0.21088191100192272,0.04116005899983524,245,22.743043252006736
Phishing,8,4,650,0.25417841458053325,0.21918680726131032,0.03499160731922287,269,19.13095116665442
Phishing,8,5,650,0.16771002539693922,0.13536690595895665,0.03234311943798258,293,17.344613644693474
Phishing,8,6,650,0.19635195281897938,0.16227008833824944,0.034081864480729925,269,18.301513509291375
Phishing,8,7,650,0.23115561662070483,0.1838616962090329,0.04729392041167189,246,25.7656589877876
Phishing,8,8,650,0.15093666583652657,0.12165113568427688,0.02928553015224968,275,15.269459092922983
Phishing,8,9,650,0.1853403564064472,0.1458140697135037,0.0395262866929435,265,21.446085249883637
Phishing,8,10,650,0.16574332259309568,0.13261388075877487,0.03312944183432081,269,17.690025170665542
Phishing,8,11,650,0.17859627861333488,0.15452983888474,0.024066439728594895,349,12.758928945123875
Phishing,8,12,650,0.22727585588412938,0.1874486427887437,0.039827213095385706,272,21.816544265431897
Phishing,8,13,650,0.2265902486435774,0.1776357382342592,0.04895451040931821,239,26.38353733059778
Phishing,8,14,650,0.18459404539678112,0.14378823129534488,0.0408058141014362,240,22.104022297147388
Phishing,8,15,650,0.22771806148967752,0.18229909187984975,0.045418969609827796,247,25.249501651691777
Phishing,8,16,650,0.1773680120071787,0.1482559353183677,0.029112076688811012,303,15.71616129003377
Phishing,8,17,650,0.14298830669695656,0.1153002358609723,0.027688070835984267,278,14.50352230491426
Phishing,8,18,650,0.22636373479379507,0.1851335798909613,0.041230154902833764,291,22.581370434239105
Phishing,8,19,650,0.1864606915722659,0.1517425424487666,0.03471814912349931,270,18.90091980769245
Phishing,16,0,650,0.16102295571925385,0.12114559948427375,0.039877356234980094,262,21.688702248150143
Phishing,16,1,650,0.1886443026727022,0.15127513566381337,0.03736916700888886,281,20.48742696284492
Phishing,16,2,650,0.21521296014333022,0.1768580124826603,0.03835494766066993,264,21.06906182479454
Phishing,16,3,650,0.17310005410409793,0.13084359405262405,0.04225646005147387,249,23.319348777272147
Phishing,16,4,650,0.12858895846892643,0.10187385197078357,0.02671510649814288,290,14.161810398392827
Phishing,16,5,650,0.20469036143226058,0.16814562383490683,0.03654473759735373,266,20.07936173752757
Phishing,16,6,650,0.16435118560845996,0.12497505574569734,0.03937612986276263,252,21.093509467582162
Phishing,16,7,650,0.1348961608203747,0.10569675325645506,0.02919940756391968,290,15.300267095866428
Phishing,16,8,650,0.15967113706093414,0.12036874009448092,0.03930239696645322,252,21.572657992632248
