seed,corruption,severity,n_observations,mean_brier_advantage,mean_error_advantage
1,brightness,1,2000,3.792924441912188e-05,0.0015
1,brightness,2,2000,3.0601207879537905e-05,-0.0005
1,brightness,3,2000,0.0019652639935826767,0.0005
1,brightness,4,2000,0.007797804905009583,0.0105
1,brightness,5,2000,0.025355681265048148,0.0325
1,contrast,1,2000,0.0026362983616123855,0.0025
1,contrast,2,2000,0.03211337661566225,0.039
1,contrast,3,2000,0.07102253566247753,0.1
1,contrast,4,2000,0.1769845899977816,0.2325
1,contrast,5,2000,0.413174680309391,0.515
1,elastic_transform,1,2000,0.0067699677506760985,0.009
1,elastic_transform,2,2000,0.015380525960682772,0.0235
1,elastic_transform,3,2000,0.038920988018369615,0.0475
1,elastic_transform,4,2000,0.051875338681478554,0.0725
1,elastic_transform,5,2000,0.03196327050619741,0.0435
1,pixelate,1,2000,0.003451576652869976,0.003
1,pixelate,2,2000,0.030747670091539583,0.0435
1,pixelate,3,2000,0.05664504364293545,0.071
1,pixelate,4,2000,0.17703176945261748,0.219
1,pixelate,5,2000,0.2728396311440456,0.324
1,jpeg_compression,1,2000,0.0036122142968722554,0.0085
1,jpeg_compression,2,2000,0.01183699181613022,0.017
1,jpeg_compression,3,2000,0.015172207206236049,0.0175
1,jpeg_compression,4,2000,0.02118478758000427,0.036
1,jpeg_compression,5,2000,0.031544094498892,0.046
2,gaussian_noise,1,2000,0.02637628347990465,0.0345
2,gaussian_noise,2,2000,0.1037828597528416,0.1325
2,gaussian_noise,3,2000,0.21840706743694738,0.2655
2,gaussian_noise,4,2000,0.2945466747881536,0.3435
2,gaussian_noise,5,2000,0.33633679324652804,0.3915
2,shot_noise,1,2000,0.014497735049684352,0.016
2,shot_noise,2,2000,0.060718490348695246,0.084
2,shot_noise,3,2000,0.15953261692176932,0.1965
2,shot_noise,4,2000,0.2284716857279514,0.278
2,shot_noise,5,2000,0.2989578301413457,0.3575
2,impulse_noise,1,2000,0.009294888631868909,0.0155
2,impulse_noise,2,2000,0.045357463605379435,0.0525
2,impulse_noise,3,2000,0.10326730253817855,0.131
2,impulse_noise,4,2000,0.21939241930869713,0.2825
2,impulse_noise,5,2000,0.31528533807625875,0.383
2,defocus_blur,1,2000,0.00038248729970645636,0.001
2,defocus_blur,2,2000,0.0045283996641848154,0.009
2,defocus_blur,3,2000,0.04463640940933834,0.061
2,defocus_blur,4,2000,0.11321110782364201,0.154
2,defocus_blur,5,2000,0.2335006744495556,0.286
2,glass_blur,1,2000,0.06993999087842435,0.089
2,glass_blur,2,2000,0.16594692824491708,0.2075
2,glass_blur,3,2000,0.151758821602873,0.1865
2,glass_blur,4,2000,0.2028653586168005,0.2405
2,glass_blur,5,2000,0.19082281937974738,0.2385
2,motion_blur,1,2000,0.0147827727788336,0.0225
2,motion_blur,2,2000,0.05928177895952988,0.0795
2,motion_blur,3,2000,0.11641792415786381,0.151
2,motion_blur,4,2000,0.14137665629196614,0.192
2,motion_blur,5,2000,0.1894707803181331,0.241
2,zoom_blur,1,2000,0.023323954071228007,0.0345
2,zoom_blur,2,2000,0.057409888383527216,0.0785
2,zoom_blur,3,2000,0.10430630236668055,0.139
2,zoom_blur,4,2000,0.14025309749520035,0.1775
2,zoom_blur,5,2000,0.18867334166697045,0.2415
2,snow,1,2000,0.007863408692604107,0.0105
2,snow,2,2000,0.04639178945996737,0.056
2,snow,3,2000,0.036120056113265415,0.0395
2,snow,4,2000,0.06037036954102138,0.078
2,snow,5,2000,0.09080192439320788,0.115
2,frost,1,2000,0.009919931772289664,0.006
2,frost,2,2000,0.027857442872808804,0.0385
2,frost,3,2000,0.07205693758547,0.0915
2,frost,4,2000,0.09493964547348466,0.1165
2,frost,5,2000,0.14441749761364633,0.1815
2,fog,1,2000,0.0020855040635939437,0.005
2,fog,2,2000,0.011603818415398938,0.0215
2,fog,3,2000,0.02071381745649671,0.0295
2,fog,4,2000,0.05569200912800475,0.0755
2,fog,5,2000,0.12321176432035001,0.159
2,brightness,1,2000,0.0007227124496416912,0.0005
2,brightness,2,2000,0.0010984721043001532,0.0045
2,brightness,3,2000,0.0036276137858717284,0.0015
2,brightness,4,2000,0.01010565309387939,0.016
2,brightness,5,2000,0.022614690356007598,0.034
2,contrast,1,2000,0.00407513114338777,0.005
2,contrast,2,2000,0.028921148172315263,0.036
2,contrast,3,2000,0.09310293727620689,0.1155
2,contrast,4,2000,0.19382994667040987,0.252
2,contrast,5,2000,0.42529110928895086,0.5115
2,elastic_transform,1,2000,0.007881104040505387,0.0125
2,elastic_transform,2,2000,0.01217932723528921,0.0155
2,elastic_transform,3,2000,0.04040261512588505,0.056
2,elastic_transform,4,2000,0.058564109738028225,0.0695
2,elastic_transform,5,2000,0.059043931176068064,0.081
2,pixelate,1,2000,0.002692437083928782,0.002
2,pixelate,2,2000,0.026351918599344153,0.0325
2,pixelate,3,2000,0.05451395109244099,0.0685
2,pixelate,4,2000,0.18136651665648135,0.2215
2,pixelate,5,2000,0.25759153053947126,0.308
2,jpeg_compression,1,2000,0.004422780204901356,0.006
2,jpeg_compression,2,2000,0.01825231927025236,0.022
2,jpeg_compression,3,2000,0.013387994222766375,0.013
2,jpeg_compression,4,2000,0.027049636362616893,0.0355
2,jpeg_compression,5,2000,0.028983346864963868,0.0325
